epoch,lr-Adam,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
,0.001,739,,,,,,,,,,,
22,,739,,,,,,nan,,nan,,,
22,,758,,,,,,,,,nan,nan,nan
22,,758,,,,nan,nan,,nan,,,,
,0.001,759,,,,,,,,,,,
,0.001,759,,,,,,,,,,,
23,,759,,,,,,nan,,nan,,,
,0.001,779,,,,,,,,,,,
23,,779,,,,,,nan,,nan,,,
23,,791,,,,,,,,,nan,nan,nan
23,,791,,,,nan,nan,,nan,,,,
,0.001,792,,,,,,,,,,,
,0.001,799,,,,,,,,,,,
24,,799,,,,,,nan,,nan,,,
,0.001,819,,,,,,,,,,,
24,,819,,,,,,nan,,nan,,,
24,,824,,,,,,,,,nan,nan,nan
24,,824,,,,nan,nan,,nan,,,,
,0.001,825,,,,,,,,,,,
,0.001,839,,,,,,,,,,,
25,,839,,,,,,nan,,nan,,,
25,,857,,,,,,,,,nan,nan,nan
25,,857,,,,nan,nan,,nan,,,,
,0.001,858,,,,,,,,,,,
,0.001,859,,,,,,,,,,,
26,,859,,,,,,nan,,nan,,,
,0.001,879,,,,,,,,,,,
26,,879,,,,,,nan,,nan,,,
26,,890,,,,,,,,,nan,nan,nan
26,,890,,,,nan,nan,,nan,,,,
,0.001,891,,,,,,,,,,,
,0.001,899,,,,,,,,,,,
27,,899,,,,,,nan,,nan,,,
,0.001,919,,,,,,,,,,,
27,,919,,,,,,nan,,nan,,,
27,,923,,,,,,,,,nan,nan,nan
27,,923,,,,nan,nan,,nan,,,,
,0.001,924,,,,,,,,,,,
,0.001,939,,,,,,,,,,,
28,,939,,,,,,nan,,nan,,,
28,,956,,,,,,,,,nan,nan,nan
28,,956,,,,nan,nan,,nan,,,,
,0.001,957,,,,,,,,,,,
,0.001,959,,,,,,,,,,,
29,,959,,,,,,nan,,nan,,,
,0.001,979,,,,,,,,,,,
29,,979,,,,,,nan,,nan,,,
29,,989,,,,,,,,,nan,nan,nan
29,,989,,,,nan,nan,,nan,,,,
,0.001,990,,,,,,,,,,,
,0.001,999,,,,,,,,,,,
