model,AUC,F1,Precision,Recall,Accuracy
Logistic (statsmodels),0.9951639619283842,0.5800957956359766,1.0,0.4085457271364318,0.9060042887776983
Logistic + Ridge,0.994922828953795,0.5671321160042965,1.0,0.39580209895052476,0.9039790326423636
Logistic + Lasso,0.9947646219383227,0.5663621708758731,1.0,0.3950524737631184,0.9038598999285203
Gradient Boosting,0.9870220343086248,0.5484221980413493,1.0,0.3778110944527736,0.9011198475101263
Random Forest,0.9869644851795066,0.6947162426614482,1.0,0.5322338830584707,0.9256611865618298
