model,RMSE,MAE,R2,MAPE
MLP (PyTorch),2089.561362748485,1581.0184209722718,0.9582797531102181,2.741494031475513
SVR,2206.7588000935166,1812.9406556235583,0.9534685757814783,3.217028536021243
OLS,2584.1995418634137,2025.750153608105,0.9361900063347187,3.62978717161659
Lasso,2703.18196269149,2122.425560062251,0.930178821810882,3.82107173476819
Ridge,2773.9540767545345,2168.1488764072283,0.9264749810403861,3.9249301482457226
Decision Tree,3846.4917553803994,3098.4040007764124,0.8586270817121096,5.406382856344607
Random Forest,4318.958573415726,3833.2441280716203,0.8217643033260487,6.721882928603164
Gradient Boosting,4411.484508844402,3916.1420846493056,0.8140457416108715,6.773460148061656
