model,RMSE,MAE,R2,MAPE
SVR,2948.092788469555,2486.7453372374644,0.9169298219365201,4.409959324131157
Gradient Boosting,3235.64115565693,2794.8057145096213,0.8999346897768985,4.932375801512609
Ridge,3252.4834121937715,2703.0572530993245,0.8988902526482346,4.862071429073911
Lasso,3264.2634141499507,2695.5535299481953,0.8981565179517879,4.852846279316324
OLS,3283.1411137749706,2753.2977851547457,0.8969751611382925,4.94438303582602
MLP (PyTorch),3509.7863174441704,3049.4587141638167,0.8822599549276453,5.411713707522843
Decision Tree,3871.898939890078,2999.6071508552996,0.8567116534776233,5.226595186189012
Random Forest,3955.4260912916275,3473.984894089363,0.8504627490363418,6.074697493583351
