epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
26,890,,,,30626912.0,4349.69970703125,,0.74912428855896,,,,
27,899,,,,,,4559.19189453125,,0.7390145063400269,,,
27,919,,,,,,4376.0966796875,,0.7625523209571838,,,
27,923,,,,,,,,,19973596.0,4021.526611328125,0.8090943098068237
27,923,,,,30246368.0,4328.24365234375,,0.7524697780609131,,,,
28,939,,,,,,4387.0126953125,,0.7554915547370911,,,
28,956,,,,,,,,,21817686.0,4215.44775390625,0.791468620300293
28,956,,,,30091338.0,4303.91357421875,,0.7534208297729492,,,,
29,959,,,,,,4221.21142578125,,0.7611863017082214,,,
29,979,,,,,,4512.73583984375,,0.7306761741638184,,,
29,989,,,,,,,,,22934688.0,4381.89404296875,0.7807924747467041
29,989,,,,30148814.0,4311.2861328125,,0.7533245086669922,,,,
30,999,,,,,,4086.01611328125,,0.7915442585945129,,,
30,1019,,,,,,4169.6669921875,,0.7646353244781494,,,
30,1022,,,,,,,,,19978476.0,4036.952392578125,0.8090476393699646
30,1022,,,,29504432.0,4258.12939453125,,0.7582259774208069,,,,
31,1039,,,,,,4178.86962890625,,0.7798466086387634,,,
31,1055,,,,,,,,,20917876.0,4120.87451171875,0.8000689744949341
31,1055,,,,29582988.0,4267.58056640625,,0.7578480243682861,,,,
32,1059,,,,,,4173.1875,,0.7675691246986389,,,
32,1079,,,,,,4218.01171875,,0.7413036823272705,,,
32,1088,,,,,,,,,18460440.0,3861.733154296875,0.8235569000244141
32,1088,,,,28803270.0,4211.10791015625,,0.7641730308532715,,,,
33,1099,,,,,,4174.6572265625,,0.7648152709007263,,,
33,1119,,,,,,4271.6904296875,,0.7465523481369019,,,
33,1121,,,,,,,,,19333440.0,3976.2724609375,0.8152127861976624
33,1121,,,,29023746.0,4232.1748046875,,0.7622566819190979,,,,
34,1139,,,,,,4272.275390625,,0.780003011226654,,,
