epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,49240.40234375,,-20.179973602294922,,,
0,32,,,,,,,,,3219727616.0,55813.83984375,-29.76486587524414
0,32,,,,2562613248.0,49399.76953125,,-20.012451171875,,,,
1,39,,,,,,49403.1171875,,-20.900129318237305,,,
1,59,,,,,,49760.9765625,,-19.85575294494629,,,
1,65,,,,,,,,,3198668544.0,55635.1875,-29.563648223876953
1,65,,,,2553473024.0,49312.4375,,-19.942947387695312,,,,
2,79,,,,,,48808.03125,,-20.010066986083984,,,
2,98,,,,,,,,,3136001792.0,55104.9453125,-28.964859008789062
2,98,,,,2518781952.0,48984.21484375,,-19.644805908203125,,,,
3,99,,,,,,49208.76171875,,-18.81140899658203,,,
3,119,,,,,,47721.3828125,,-19.120141983032227,,,
3,131,,,,,,,,,3001027072.0,53946.6875,-27.675161361694336
3,131,,,,2433929728.0,48175.9296875,,-18.96181297302246,,,,
4,139,,,,,,47701.4765625,,-16.48565101623535,,,
4,159,,,,,,45490.2734375,,-16.658016204833984,,,
4,164,,,,,,,,,2761396736.0,51815.11328125,-25.385465621948242
4,164,,,,2270253056.0,46574.08984375,,-17.609203338623047,,,,
5,179,,,,,,43697.3828125,,-16.329130172729492,,,
5,197,,,,,,,,,2391252480.0,48287.45703125,-21.848691940307617
5,197,,,,2003505664.0,43802.890625,,-15.446065902709961,,,,
6,199,,,,,,41676.3671875,,-13.6405029296875,,,
6,219,,,,,,38711.953125,,-13.313606262207031,,,
6,230,,,,,,,,,1883589120.0,42821.50390625,-16.99791145324707
6,230,,,,1623350528.0,39397.52734375,,-12.309146881103516,,,,
7,239,,,,,,34297.98828125,,-8.962859153747559,,,
7,259,,,,,,29538.919921875,,-6.655842304229736,,,
7,263,,,,,,,,,1276585856.0,34714.21875,-11.197925567626953
7,263,,,,1148656768.0,32730.0234375,,-8.414795875549316,,,,
8,279,,,,,,23718.8828125,,-4.598281383514404,,,
8,296,,,,,,,,,700301632.0,23701.33203125,-5.691462993621826
8,296,,,,670707200.0,23602.203125,,-4.507510185241699,,,,
9,299,,,,,,18427.58203125,,-2.5677099227905273,,,
9,319,,,,,,15539.455078125,,-1.4407193660736084,,,
9,329,,,,,,,,,337501568.0,16075.1298828125,-2.2248663902282715
9,329,,,,361576896.0,16535.751953125,,-1.961848497390747,,,,
10,339,,,,,,12263.47265625,,-0.6160476207733154,,,
10,359,,,,,,9502.41796875,,-0.11609184741973877,,,
10,362,,,,,,,,,172485024.0,11256.2763671875,-0.6481144428253174
