epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,49805.6328125,,-18.712312698364258,,,
0,32,,,,,,,,,3220231936.0,55818.9609375,-29.778669357299805
0,32,,,,2567295488.0,49445.56640625,,-20.05303382873535,,,,
1,39,,,,,,49765.703125,,-19.391817092895508,,,
1,59,,,,,,49462.171875,,-19.72251319885254,,,
1,65,,,,,,,,,3199219456.0,55643.2109375,-29.57783317565918
1,65,,,,2558346496.0,49361.23828125,,-19.934419631958008,,,,
2,79,,,,,,48835.72265625,,-20.193349838256836,,,
2,98,,,,,,,,,3134528512.0,55103.21875,-28.959522247314453
2,98,,,,2523294720.0,49033.2734375,,-19.66048240661621,,,,
3,99,,,,,,49304.51953125,,-19.59370994567871,,,
3,119,,,,,,48023.88671875,,-17.939573287963867,,,
3,131,,,,,,,,,2990142976.0,53878.46484375,-27.57950210571289
3,131,,,,2434624000.0,48197.89453125,,-18.92491912841797,,,,
4,139,,,,,,46850.80859375,,-18.427412033081055,,,
4,159,,,,,,45712.046875,,-16.72513198852539,,,
4,164,,,,,,,,,2726183680.0,51546.33984375,-25.056604385375977
4,164,,,,2259599104.0,46494.38671875,,-17.502641677856445,,,,
5,179,,,,,,43500.69921875,,-14.846696853637695,,,
5,197,,,,,,,,,2312319488.0,47582.734375,-21.100927352905273
5,197,,,,1964473600.0,43424.63671875,,-15.109265327453613,,,,
6,199,,,,,,41037.921875,,-13.851461410522461,,,
6,219,,,,,,37367.53125,,-12.524556159973145,,,
6,230,,,,,,,,,1752458880.0,41380.7734375,-15.749835968017578
6,230,,,,1545534848.0,38462.484375,,-11.661337852478027,,,,
7,239,,,,,,32830.07421875,,-8.941640853881836,,,
7,259,,,,,,27803.853515625,,-6.24462890625,,,
7,263,,,,,,,,,1115518592.0,32160.2890625,-9.662019729614258
7,263,,,,1042766656.0,30921.052734375,,-7.5427961349487305,,,,
8,279,,,,,,20996.6171875,,-3.6771726608276367,,,
8,296,,,,,,,,,587251840.0,21024.96875,-4.612896919250488
8,296,,,,589890816.0,21533.185546875,,-3.838125467300415,,,,
9,299,,,,,,17948.61328125,,-2.5236434936523438,,,
9,319,,,,,,14508.5947265625,,-1.158362627029419,,,
9,329,,,,,,,,,341951680.0,16089.537109375,-2.268341302871704
9,329,,,,336432224.0,15787.8583984375,,-1.7559423446655273,,,,
10,339,,,,,,11771.822265625,,-0.7982251644134521,,,
10,359,,,,,,9081.0078125,,-0.09364402294158936,,,
10,362,,,,,,,,,198230688.0,12131.2880859375,-0.8946701288223267
10,362,,,,176578256.0,10841.5419921875,,-0.44564151763916016,,,,
11,379,,,,,,7559.6728515625,,0.3115096688270569,,,
11,395,,,,,,,,,121398224.0,9601.734375,-0.16031253337860107
11,395,,,,91054728.0,7588.23046875,,0.2545912265777588,,,,
12,399,,,,,,6798.2216796875,,0.4227299094200134,,,
12,419,,,,,,5960.552734375,,0.5577386617660522,,,
12,428,,,,,,,,,93330280.0,8616.310546875,0.10795813798904419
12,428,,,,59836480.0,6124.7587890625,,0.5093516111373901,,,,
13,439,,,,,,5704.51513671875,,0.550200343132019,,,
13,459,,,,,,5209.14599609375,,0.6348962783813477,,,
13,461,,,,,,,,,70867192.0,7531.7109375,0.3226581811904907
13,461,,,,49242000.0,5573.8544921875,,0.5971687436103821,,,,
14,479,,,,,,5336.17578125,,0.6575380563735962,,,
14,494,,,,,,,,,60149336.0,7001.66552734375,0.4250984191894531
14,494,,,,42892728.0,5166.611328125,,0.6492806673049927,,,,
15,499,,,,,,5016.89453125,,0.6656843423843384,,,
15,519,,,,,,4843.59912109375,,0.7063472867012024,,,
15,527,,,,,,,,,48389232.0,6275.662109375,0.5375003814697266
15,527,,,,39320284.0,4951.126953125,,0.6775861382484436,,,,
16,539,,,,,,5051.73828125,,0.661847710609436,,,
16,559,,,,,,4727.533203125,,0.6966821551322937,,,
16,560,,,,,,,,,43218272.0,5972.3759765625,0.5869238972663879
16,560,,,,36682416.0,4771.400390625,,0.699705958366394,,,,
17,579,,,,,,4608.91015625,,0.7161033749580383,,,
17,593,,,,,,,,,34196864.0,5207.48193359375,0.6731496453285217
17,593,,,,34304548.0,4638.7353515625,,0.7191049456596375,,,,
18,599,,,,,,4369.8017578125,,0.7404482364654541,,,
18,619,,,,,,4447.818359375,,0.701501727104187,,,
18,626,,,,,,,,,30713554.0,4934.39013671875,0.7064428329467773
18,626,,,,33060502.0,4542.2421875,,0.7293964624404907,,,,
19,639,,,,,,4500.78857421875,,0.7393398880958557,,,
19,659,,,,,,4211.09033203125,,0.7557465434074402,,,
19,659,,,,,,,,,29712350.0,4938.861328125,0.716012179851532
19,659,,,,32354436.0,4467.1923828125,,0.734799325466156,,,,
20,679,,,,,,4565.669921875,,0.7085609436035156,,,
20,692,,,,,,,,,28559470.0,4831.25927734375,0.7270313501358032
20,692,,,,31317610.0,4400.85693359375,,0.743584930896759,,,,
21,699,,,,,,4456.58642578125,,0.7466460466384888,,,
21,719,,,,,,4312.08642578125,,0.7272563576698303,,,
21,725,,,,,,,,,26234818.0,4603.8759765625,0.7492501139640808
21,725,,,,30220544.0,4315.15478515625,,0.752178430557251,,,,
22,739,,,,,,4389.03125,,0.7538361549377441,,,
22,758,,,,,,,,,21034024.0,4082.0380859375,0.7989588379859924
22,758,,,,29868574.0,4295.22119140625,,0.7555463910102844,,,,
23,759,,,,,,4332.53564453125,,0.7387816309928894,,,
23,779,,,,,,4581.57470703125,,0.7268697619438171,,,
23,791,,,,,,,,,21233394.0,4097.14794921875,0.7970532774925232
23,791,,,,29598426.0,4283.31591796875,,0.7574191689491272,,,,
24,799,,,,,,4186.7421875,,0.7893109321594238,,,
24,819,,,,,,4307.4462890625,,0.7573016285896301,,,
24,824,,,,,,,,,23480270.0,4406.61865234375,0.7755778431892395
24,824,,,,29085010.0,4236.232421875,,0.7618868350982666,,,,
25,839,,,,,,4232.3525390625,,0.7578659653663635,,,
25,857,,,,,,,,,22343532.0,4273.9091796875,0.7864426374435425
25,857,,,,28623792.0,4206.552734375,,0.7653384804725647,,,,
26,859,,,,,,4052.12158203125,,0.7769381999969482,,,
26,879,,,,,,4036.65185546875,,0.8040844202041626,,,
26,890,,,,,,,,,20366936.0,4072.588134765625,0.805334746837616
26,890,,,,28126132.0,4162.771484375,,0.7696706056594849,,,,
27,899,,,,,,4200.9580078125,,0.7703505158424377,,,
27,919,,,,,,4199.44970703125,,0.7614858150482178,,,
27,923,,,,,,,,,19660370.0,3972.085693359375,0.8120880722999573
27,923,,,,27895314.0,4151.8818359375,,0.7714464664459229,,,,
28,939,,,,,,4031.9853515625,,0.7792847156524658,,,
28,956,,,,,,,,,19534804.0,3926.366943359375,0.8132882118225098
28,956,,,,27677696.0,4135.05908203125,,0.7734244465827942,,,,
29,959,,,,,,4029.791015625,,0.7749531269073486,,,
29,979,,,,,,4130.34521484375,,0.7776703238487244,,,
29,989,,,,,,,,,19527464.0,3961.96142578125,0.8133583664894104
29,989,,,,27365402.0,4113.2548828125,,0.7759779095649719,,,,
30,999,,,,,,4150.51025390625,,0.7556729316711426,,,
30,1019,,,,,,4024.51611328125,,0.7917841672897339,,,
30,1022,,,,,,,,,18847578.0,3898.32763671875,0.8198566436767578
30,1022,,,,27201916.0,4100.54296875,,0.7772060036659241,,,,
31,1039,,,,,,3995.013671875,,0.8115555047988892,,,
31,1055,,,,,,,,,19121710.0,3934.23779296875,0.8172365427017212
31,1055,,,,27294878.0,4106.03125,,0.7764286398887634,,,,
32,1059,,,,,,4138.9208984375,,0.7825725078582764,,,
32,1079,,,,,,4107.31005859375,,0.7796772122383118,,,
32,1088,,,,,,,,,18874620.0,3895.617919921875,0.8195981979370117
32,1088,,,,27129670.0,4080.547119140625,,0.7777429819107056,,,,
33,1099,,,,,,4006.338134765625,,0.7935323119163513,,,
33,1119,,,,,,4085.1650390625,,0.7791221737861633,,,
33,1121,,,,,,,,,18415596.0,3844.908447265625,0.8239854574203491
33,1121,,,,26982512.0,4066.468994140625,,0.7790737152099609,,,,
34,1139,,,,,,4089.32470703125,,0.7640261650085449,,,
34,1154,,,,,,,,,21193572.0,4184.48583984375,0.7974339127540588
34,1154,,,,26794620.0,4057.065673828125,,0.7805255651473999,,,,
35,1159,,,,,,4182.67822265625,,0.7611551284790039,,,
35,1179,,,,,,4088.5810546875,,0.7948727607727051,,,
35,1187,,,,,,,,,14574757.0,3368.549560546875,0.8606958389282227
35,1187,,,,26724208.0,4043.880126953125,,0.7813313007354736,,,,
36,1199,,,,,,4097.79736328125,,0.7690771818161011,,,
36,1219,,,,,,4012.916015625,,0.8009957671165466,,,
36,1220,,,,,,,,,14062317.0,3266.2314453125,0.8655937314033508
36,1220,,,,26887406.0,4056.95556640625,,0.7799888849258423,,,,
37,1239,,,,,,4037.464599609375,,0.7821197509765625,,,
37,1253,,,,,,,,,14710425.0,3350.9482421875,0.8593991994857788
37,1253,,,,26141566.0,4018.801513671875,,0.7858980894088745,,,,
38,1259,,,,,,4025.40673828125,,0.7772138118743896,,,
38,1279,,,,,,4017.564208984375,,0.7883782386779785,,,
38,1286,,,,,,,,,15006946.0,3405.95751953125,0.8565650582313538
38,1286,,,,26773532.0,4047.308837890625,,0.7807494401931763,,,,
39,1299,,,,,,3931.623046875,,0.8018973469734192,,,
39,1319,,,,,,3820.841796875,,0.7808533906936646,,,
39,1319,,,,,,,,,15288814.0,3432.79541015625,0.8538709878921509
39,1319,,,,26293348.0,4020.86181640625,,0.7846073508262634,,,,
40,1339,,,,,,4041.73681640625,,0.791834831237793,,,
40,1352,,,,,,,,,14341458.0,3327.6650390625,0.8629257082939148
40,1352,,,,26168678.0,4012.190673828125,,0.7857599854469299,,,,
41,1359,,,,,,4025.9814453125,,0.7665882706642151,,,
41,1379,,,,,,4181.0166015625,,0.7627708911895752,,,
41,1385,,,,,,,,,13128384.0,3152.277587890625,0.8745201826095581
41,1385,,,,26113764.0,3991.911865234375,,0.7861406803131104,,,,
42,1399,,,,,,4053.819580078125,,0.7935589551925659,,,
42,1418,,,,,,,,,15542241.0,3480.128173828125,0.8514487743377686
42,1418,,,,25834932.0,3985.869140625,,0.7883772253990173,,,,
43,1419,,,,,,3979.664306640625,,0.8079129457473755,,,
43,1439,,,,,,3897.321044921875,,0.7793317437171936,,,
43,1451,,,,,,,,,15104867.0,3423.588623046875,0.8556290864944458
43,1451,,,,25870946.0,3971.628173828125,,0.7883148193359375,,,,
44,1459,,,,,,3999.011962890625,,0.7987310290336609,,,
44,1479,,,,,,3817.91943359375,,0.8109967112541199,,,
44,1484,,,,,,,,,14767827.0,3384.105224609375,0.8588505387306213
44,1484,,,,25780162.0,3969.254638671875,,0.7889488935470581,,,,
45,1499,,,,,,3958.500244140625,,0.7938389182090759,,,
45,1517,,,,,,,,,13689316.0,3227.630126953125,0.8691588044166565
45,1517,,,,25759094.0,3970.226806640625,,0.7886866927146912,,,,
46,1519,,,,,,3954.39111328125,,0.7943407893180847,,,
46,1539,,,,,,3867.031494140625,,0.8206871151924133,,,
46,1550,,,,,,,,,13655828.0,3215.5224609375,0.8694788813591003
46,1550,,,,25640386.0,3963.921875,,0.7898415923118591,,,,
47,1559,,,,,,3960.86279296875,,0.7901961803436279,,,
47,1579,,,,,,3958.5361328125,,0.8072715997695923,,,
47,1583,,,,,,,,,14262321.0,3319.35009765625,0.8636820912361145
47,1583,,,,25384484.0,3948.351318359375,,0.7919750213623047,,,,
48,1599,,,,,,3833.3330078125,,0.7961411476135254,,,
48,1616,,,,,,,,,15080355.0,3407.851806640625,0.8558634519577026
48,1616,,,,25587444.0,3959.943359375,,0.7900996208190918,,,,
49,1619,,,,,,4072.718994140625,,0.7811596393585205,,,
49,1639,,,,,,3864.3369140625,,0.8137828707695007,,,
49,1649,,,,,,,,,13269720.0,3175.754638671875,0.8731693029403687
49,1649,,,,25674248.0,3985.05712890625,,0.7896051406860352,,,,
50,1659,,,,,,3784.91650390625,,0.8148936629295349,,,
50,1679,,,,,,3987.98974609375,,0.7997567653656006,,,
50,1682,,,,,,,,,15195026.0,3438.178466796875,0.854767382144928
50,1682,,,,25564148.0,3964.26708984375,,0.7908644080162048,,,,
51,1699,,,,,,4018.50048828125,,0.7817907333374023,,,
51,1715,,,,,,,,,14166296.0,3298.522705078125,0.864599883556366
51,1715,,,,25345928.0,3947.70703125,,0.7923614978790283,,,,
52,1719,,,,,,3771.31640625,,0.8257493376731873,,,
52,1739,,,,,,4033.318359375,,0.7925788164138794,,,
52,1748,,,,,,,,,12863780.0,3122.184326171875,0.8770492076873779
52,1748,,,,25420414.0,3951.375,,0.7918568253517151,,,,
53,1759,,,,,,4028.343017578125,,0.7861768007278442,,,
53,1779,,,,,,3836.497314453125,,0.8036681413650513,,,
53,1781,,,,,,,,,12779145.0,3094.66748046875,0.8778581619262695
53,1781,,,,25322656.0,3942.48828125,,0.7927243709564209,,,,
54,1799,,,,,,3701.12255859375,,0.8080582618713379,,,
54,1814,,,,,,,,,13098261.0,3147.277587890625,0.8748080730438232
54,1814,,,,25287854.0,3943.975830078125,,0.7931522130966187,,,,
55,1819,,,,,,3882.267822265625,,0.8019916415214539,,,
55,1839,,,,,,3798.134521484375,,0.8082611560821533,,,
